index,title,collection,author,solved,push_count,moves
1,,,,true,4,LUUddL
2,,,,true,8,ullDldRRRdrruLdlUUU
3,,,,true,7,ddlluRdrUluRRurrddlUruLdlU
4,,,,true,9,uuullllddRRRdrUUruLLLL
5,,,,true,9,lluuulDrddlluRdrUUluRRRdrUU
6,,,,true,13,urruruulDDrdLLLdlluRRRRdrUUUU
7,,,,true,14,dllldllluRRRRurDDDldddrruuLrddlluUruLLdlUruLL
8,,,,true,6,llUUUruLddddrruuLrddlluU
9,,,,true,8,RdrruLdlUluurrDullddrUruLdddrruLdlU
10,,,,true,17,uullllDurrDulldldRuurrdDuullddRddrruLUUdlluurRddddlUruuuRlllddRdrUUrrUlLL
11,,,,true,16,uulldRurrrDDrdLLruuullldRurrdddldlUUUddrruuLuLLdlUrrrdrddlluUluRdrU
12,,,,true,12,ulLLDlluRRRRdrddlllUUluRRldddrrruuU
13,,,,true,15,uurrdRluurDrrddlUruLLLdRuullldRurrdrrddlUllUdrrruLLuLLrrddlU
14,,,,true,16,ddrruLdlUUluurDrDLddrruLdlUUruLulllddrRUruLdrrddlUluuLrddrU
15,,,,true,14,RRRurrdLLLrrddllUlluurDRRlddrruUlllldRurrrddllUdrruuruL
16,,,,true,18,llDLdlluRRRurrdLdLLuRdrUllllddrUluRRRuRlddrUrUdlU
17,,,,true,14,uurrrrddlULulldRRRdrruLuLLdlluRdrRurDldRullluRdrrrD
18,,,,true,20,uulLLLdlUluurDldRRRRRdrUUUddllllluurDldRRRurrddlUluRdrU
19,,,,true,15,lddrUlullldRurrdrUllldRurrddlUluuurrDDLdlUUdrruulLLrdddrdrUUU
20,,,,true,17,llddrUluuurrrrdddLLLdlUUUluRRRRllldddrruLdrrruuUdddllllUUddrrrruuulllLrrrrU
21,,,,true,11,uulDrdDlddrUUUUlDlluRdrrddlUruLU
22,,,,true,18,urrdddLLrruuulldRDrddlluRuuurDldddrruLdlUdllluRdrruUUruLdddrUddllluRdrUruUddlUU
23,,,,true,19,DDLLdlluRuuRRlldddrdrrUdlluluuurrddLruulldDrdLurrurruLLddlddrruUluuLrrrdLulDrdLL
24,,,,true,20,dllLDlddrUluluRRurrdddLLdlUUdrrruuulldRlDlddrUluluRddrrruUruLdddllluuRRllddrrruUddllUluR
25,,,,true,20,rDurrDDuulldDuurrddLddlluRUUdrruulLLLrrddddrUluuurrddLdlUUdrruulLLrddddrrUUU
26,,,,true,20,RRDulldRRuurrddddllUdrruuuLLrrdddlluURlddrruUluulDDlluRRdrrddllUdrruulLulldRRR
27,,,,true,20,ddllDlddrUrUdlluRuRlddrURUrrdLLLdlluRuRRdLrrruLdllulDrdLurrruLL
28,,,,true,20,ddrRUrrdLLLuluurrDullddrdrruLuullddldRRluuurrddrruLdlLdlUUUrrDullddrRuullluRdrUdrdrrddlLuurD
29,,,,true,21,dDDDlddrUUUUUlldRurDDDlUUruLrUdlLdrddddrUUUU
30,,,,true,21,RRUdlluRRUruulDrdrddLUlldRurUUlDrdLdlluRRurrddLruululuRddrddlUUdlldR
31,,,,true,22,uRRDulldRRDrruuLDlluRddRurDDldRllUUruLulldRRdrruuLDlluRddR
32,,,,true,23,uLUUluurrrdrdddLruuuullllddrUluurrdLrrdrdddlLdlUrrruuuuullllDDurrrdrdddlllUlldRurUUluurrdrdrdddlldlUrrruuuuullllddrUdlDuurrrdrdddlllUUUluRRldddL
33,,,,true,26,dlLLDurrrdLulldlluRRRRdrddlllUUluRRldddrrruulLrUdrddllluUluRdrruUrDDllluRdrrDuuuuLdrddlUruulLrrddlUruL
34,,,,true,27,uLrdrruLUUruLdllddRdrUlluurruLdlddrrUdlluururrdLLrddlluluuRlddrdrruulLdlldRRRluuulDrddrdrUlluLurrruLdlddrrUdlluururrdLLrddlluluuRldddrrruulLulDrrruL
35,,,,true,29,ddDurrDulldRddlUUUluRRRdrUUddlldddrruLUlldRurUdlddrUluuuRRuUdddllddrUluurruuruLddddrUUdlllddrUruurUdddllluRdrUUU
36,,,,true,14,urULLLLddrURuLdlUrrrrdLLullddrUluRdrU
37,,,,true,20,UllDDldRuuurrdLulDDuurrUddlldlddrUdrruLUUluRdrUdldddlluRUddrUluUddrUU
38,,,,true,21,UUrruulLrrddlUUddlddrUUruulUdrddlUUlDurruuLrdddlllluRRRdrUlUdrUdddldlUUruL
39,,,,true,21,LuurrdrdLddllUURlddrruUlldRurruulllDDrrUdlluurRddlddrUUruUddlUruUdddllluurRdrUddlddllUUU
40,,,,true,23,RRUrUdlUddlluRRurruullDurrddlUdrddLUlldRurruullDurrddlLdlluRRuurrdddLruuullddRUddrUUUddllldR
41,,,,true,24,uRRDDDuuulldRurDDrruLLuurDlddrruLdlUUlldRurrddlUdrrdddllluRUddrruuuuluLLdrrdrdddlluuUUdrrddLdlU
42,,,,true,25,uRRRurUdlddrUlllDRddlUUrurrdLulDuruurDlddllddrUluluRRlddrUrUUruLLrdddlluRdrUUruLdddrU
43,,,,true,30,drrruulDrdLLdddrruLUUlLulldRdRUrrdLrddlUUruLLUlldRdRRurDlddrruLuulLrrUddlllUdrrrddlUUluuLddrrruLLdlU
44,,,,true,30,DDLurrrdLdddlluRdrUUUruLLulldRdRDrUlluurDDrruLLdrdddlluRdrUUUruLdllUdrruLuLrddlUlUdrUddrrddlU
45,,,,true,31,RRlluurDRRRurDDrddlUlUUlldRullldRurrrrDrddlUlUdrruLuLLrrddlUluLLdRRuuRlddRdrruLuLDlluRdlllU
46,,,,true,6,ddlDlluRdrUdllddrUllldRR
47,,,,true,36,uRldRRUUddRdrruLLLuuUrrdLDldRuuulDrdddrruLdlUUUluRdddlUlldRRRuuulDrddlluRdrUUrUUUdddlluRdrUdldddrruLdlUUU
48,,,,true,40,llUluRRRUUddllUrrurrddLLulldddrrUULrrruullDldRddlluluRurruruulDllDDrrUdlluurRRdlddddlluURlddrruUUUruulDlldDrdrddlluluRRurUdldlddrruUUlluurRllddrrUrUdrddLruulldldlddrruUUlluurR
